"","Treatment","Timepoint","Photo","gs","Fv.Fm.","Starch","NSC","SM..."
"112","Dry",5,-3.851405671,0.163167507,0,40.73330516,2.979991486,24.3
"113","Dry",5,-3.536747987,0.173483682,0,20.77477811,2.394313505,21.5
"114","Dry",5,-2.359340936,0.176037936,0,21.38246369,1.589973812,19.1
"115","Dry",5,-1.869262293,0.093073928,0,13.614482,1.42129927,22.3
"116","Dry",5,-2.30352564,0.097509615,0,12.4988443,2.517017367,21.1
"117","Dry",5,-1.619581103,0.05897328,0,38.71814998,2.148148148,18.1
"118","Dry",5,-1.818303324,0.030153153,0,15.67000052,2.447089947,22.3
"119","Dry",5,-3.954530256,0.105077862,0,7.461712496,2.00617284,19.1
"120","Dry",5,-1.908759591,0.126225698,0,8.082441672,1.859071547,23.8
"121","WW",6,-3.624833856,0.170546137,0,64.94057725,1.274782485,33.9
"122","WW",6,-2.116669376,0.172263307,0,37.6529525575017,0.695335901,41.1
"123","WW",6,-1.289706311,0.152142348,0,66.66868785,1.049042748,41
"124","WW",6,-2.394315865,0.097794347,0,59.67741935,1.389580222,34.4
"125","WW",6,-2.686014482,0.151037911,0,67.9647708,0.639260425,29.8
"126","WW",6,-2.116669376,0.097794347,0,39.33964793,0.911129801,32.2
"127","WW",6,-3.095210078,0.170546137,0,44.63780419,0.258684405,29.8
"128","WW",6,-3.041911815,0.189332093,0,36.79966044,0.904524752,41
"129","WW",6,-2.395126181,0.150014069,0,48.17487267,1.139443213,30.7
"130","WW",6,-1.362649331,0.150014069,0,88.2852292,1.734827954,32.2
"131","WW",6,-2.721904863,0.139026765,0,58.89219015,1.045931992,33.9
"132","WW",6,-1.420266687,0.242499919,0,57.6643221,0.927337398,26.2
"133","Dry",6,-2.359340936,0.163941777,0,63.50806452,2.984178851,23
"134","Dry",6,-1.619581103,0.05897328,0,57.36517137,2.738789689,24.5
"135","Dry",6,-2.064804983,0.122986114,0,40.18994058,2.703632271,23.4
"136","Dry",6,-1.818303324,0.122986114,0,63.39174938,2.720327211,24.5
"137","Dry",6,-2.386194257,0.163167507,0,32.4155746,2.011575381,21.1
"138","Dry",6,-3.213634771,0.073316493,0,72.30571848,2.653232665,21.5
"139","Dry",6,-3.536747987,0.0685896,0,55.59179317,2.414828938,18.4
"140","Dry",6,-3.014608246,0.095522583,0,37.20838134,2.66101407,27.5
"141","Dry",6,-3.014608246,0.0685896,0,32.37666034,2.551020408,21.2
"142","Dry",6,-3.213634771,0.163941777,0,22.96336796,2.314831127,38.7
"143","Dry",6,-3.341325285,0.078891502,0,61.99596774,2.688539531,23
"144","Dry",6,-2.524153135,0.050122907,0,64.39012097,2.356637863,19.1
"145","WW",7,11.16183634,0.301751326,0.756810216,14.46498707,3.186147318,29.1
"146","WW",7,10.30843253,0.37702487,0.75510128,17.68379647,2.339494924,33.5
"147","WW",7,8.516586928,0.293755482,0.759201688,46.80803068,2.010395339,38.1
"148","WW",7,9.789582272,0.43969115,0.74495795,6.713286733,4.40849158,32.3
"149","WW",7,6.27504097,0.105472989,0.714240919,9.82424655,2.515065469,35.9
"150","WW",7,10.70387762,0.377922794,0.749516479,24.211184,2.437399457,33.2
"151","WW",7,9.047269782,0.316613458,0.744032349,20.57179768,2.589896116,41
"152","WW",7,10.42866371,0.444190911,0.746925356,15.52186132,2.737979607,41.1
"153","WW",7,9.52324804,0.311577049,0.716649043,32.86065786,2.348791645,34.3
"154","WW",7,10.09085964,0.379985422,0.74598527,6.84290457,2.178185944,41.6
"155","WW",7,10.27154155,0.337456797,0.745450142,7.045193612,2.592372117,44.3
"156","WW",7,10.26726969,0.439528257,0.740686487,26.60898424,3.190438176,41.1
"157","Dry",7,8.13349387,0.345226973,0.747396032,7.380153407,3.376401207,19.1
"158","Dry",7,11.51971148,0.422173389,0.764434282,6.934900878,3.698590961,24.5
"159","Dry",7,12.20684614,0.443789023,0.757952199,6.678533272,3.123929703,18.4
"160","Dry",7,11.34221458,0.415537565,0.753150826,6.322382705,3.757756838,22.8
"161","Dry",7,9.102779464,0.399120174,0.741047744,8.006990481,4.49816356,18.1
"162","Dry",7,9.005796632,0.386560005,0.751993398,8.084986368,3.36077601,23.1
"163","Dry",7,8.943298277,0.420642161,0.748126751,8.830447592,3.366765038,23
"164","Dry",7,8.006413009,0.373132762,0.742627912,6.296493979,4.323770171,18.6
"165","Dry",7,5.028530947,0.251974839,0.744336147,7.173279147,3.271474199,23.8
"166","Dry",7,9.212504402,0.325438913,0.74538046,8.44675925,4.79643122,24.5
"167","Dry",7,4.750118344,0.279317605,0.730197987,6.819469746,2.994193284,27.5
"168","Dry",7,10.60398339,0.374067187,0.750315679,8.052477729,3.624577854,24.3
"169","WW",8,17.23414157,0.583808661,0.734050811,5.649357274,2.408523942,41.1
"170","WW",8,16.28431868,0.547627859,0.709533547,6.082751921,2.216473009,32
"171","WW",8,16.23253527,0.528989857,0.705824348,7.745139476,0.865503952,36
